id;cardAge;cardName;cardType;minPlayer;costInCoins;costInZiegel;costInErz;costInHolz;costInStein;costInGlas;costInStoff;costInPapyrus;freeCardName1;freeCardName2;victoryPoints;militaryPoints;coinsFromCard;canTradeLeft;canTradeRight;tradeCostafter;canTradeZiegel;canTradeErz;canTradeHolz;canTradeStein;canTradeGlas;canTradeStoff;canTradePapyrus;produceZiegel;produceErz;produceHolz;produceStein;produceGlas;produceStoff;producePapyrus;produceAlternate;sciencePointsSchriften;sciencePointsKompass;sciencePointsMeter;coinsfromWonderStage;pointsFromWonderStage;pointsFromNeigbourWonderStage;coinsForBrownCards;coinsForBrownNeigbourCards;pointsForBrownCards;pointsForNeigbourBrownCards;coinsForGreyCards;coinsForGreyNeigbourCards;pointsForGreyCards;pointsForNeigbourGreyCards;coinsForYellowCards;coinsForYellowNeigbourCards;pointsForYellowCards;pointsForNeigbourYellowCards;pointsForPurpleCards;pointsForNeigbourBlueCards;pointsForNeigbourGreenCards;pointsForNeigbourRedCards;pointsforNeigbourDefeattoken
99;3;BELAGERUNGSMASCHINEN;MILITARY;3;0;3;0;1;0;0;0;0;null;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;3;SENAT;PROFAN;3;0;0;1;2;1;0;0;0;BIBLIOTHEK;null;6;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;3;Arena;TRADE;3;0;0;1;0;2;0;0;0;ARZNEIAUSGABE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;3;Verteidigungsanlage;MILITARY;3;0;0;3;0;1;0;0;0;null;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;3;WAFFENLAGER;MILITARY;3;0;0;1;2;0;0;1;0;null;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;3;Palast;PROFAN;3;0;1;1;1;1;1;1;1;null;null;8;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;3;Gaerten;PROFAN;3;0;2;0;1;0;0;0;0;STATUE;null;5;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;3;Pantheon;PROFAN;3;0;2;1;0;0;1;1;1;TEMPEL;null;7;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;3;Studierzimmer;RESEARCH;3;0;0;0;1;0;0;1;1;SCHULE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;3;Loge;RESEARCH;3;0;2;0;0;0;0;1;1;ARZNEIAUSGABE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;3;Akademie;RESEARCH;3;0;0;0;0;3;1;0;0;SCHULE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;3;Universitaet;RESEARCH;3;0;0;0;2;0;1;0;1;BIBLIOTHEK;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;True;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;3;Observatorium;RESEARCH;3;0;0;2;0;0;1;1;0;LABORATORIUM;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;3;Hafen;TRADE;3;0;0;1;1;0;0;1;0;FORUM;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;3;Leuchtturm;TRADE;3;0;0;0;0;1;1;0;0;KARAWANSEREI;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
114;3;Rathaus;PROFAN;3;0;0;1;0;2;1;0;0;null;null;6;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;3;Universitaet;RESEARCH;4;0;0;0;2;0;1;0;1;BIBLIOTHEK;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;True;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;3;Handelskammer;TRADE;4;0;2;0;0;0;0;0;1;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
117;3;Gaerten;PROFAN;4;0;2;0;1;0;0;0;0;STATUE;null;5;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;3;WAFFENLAGER;MILITARY;4;0;0;1;2;0;0;1;0;null;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;3;Zirkus;MILITARY;4;0;0;1;0;3;0;0;0;TRAININGSGELAENDE;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;3;Hafen;TRADE;4;0;0;1;1;0;0;1;0;FORUM;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;3;Studierzimmer;RESEARCH;5;0;0;0;1;0;0;1;1;SCHULE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;3;Arena;TRADE;5;0;0;1;0;2;0;0;0;ARZNEIAUSGABE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;3;Rathaus;PROFAN;5;0;0;1;0;2;1;0;0;null;null;6;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;3;Senat;PROFAN;5;0;1;1;2;0;0;0;0;BIBLIOTHEK;null;6;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;3;Belagerungsmaschinen;MILITARY;5;0;3;0;1;0;0;0;0;LABORATORIUM;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;3;Zirkus;MILITARY;5;0;0;1;0;3;0;0;0;TRAININGSGELAENDE;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;3;Loge;RESEARCH;6;0;2;0;0;0;0;1;1;ARZNEIAUSGABE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;3;Leuchtturm;TRADE;6;0;0;0;0;1;1;0;0;KARAWANSEREI;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
129;3;Handelskammer;TRADE;6;0;2;0;0;0;0;0;1;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
130;3;Pantheon;PROFAN;6;0;2;1;0;0;1;1;1;TEMPEL;null;7;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;3;Zirkus;MILITARY;6;0;0;1;0;3;0;0;0;TRAININGSGELAENDE;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;3;Rathaus;PROFAN;6;0;0;1;0;2;1;0;0;null;null;6;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;3;WAFFENLAGER;MILITARY;7;0;0;1;2;0;0;1;0;null;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;3;Observatorium;RESEARCH;7;0;0;2;0;0;1;1;0;LABORATORIUM;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;3;Arena;TRADE;7;0;0;1;0;2;0;0;0;ARZNEIAUSGABE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;3;Palast;PROFAN;7;0;1;1;1;1;1;1;1;null;null;8;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;3;Verteidigungsanlage;MILITARY;7;0;0;3;0;1;0;0;0;MAUERN;null;0;3;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;3;Akademie;RESEARCH;7;0;0;0;0;3;1;0;0;SCHULE;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;3;GILDE_DER_ARBEITER;GILDEN;3;0;1;2;1;1;0;0;0;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
140;3;GILDE_DER_WISSENSCHAFTLER;GILDEN;3;0;0;2;2;0;0;0;1;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;True;True;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;3;GILDE_DER_HAENDLER;GILDEN;3;0;0;0;0;0;1;1;1;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
142;3;GILDE_DER_BEAMTEN;GILDEN;3;0;0;0;3;1;0;1;0;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
143;3;GILDE_DER_PHILOSOPHEN;GILDEN;3;0;3;0;0;0;0;1;1;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
144;3;GILDE_DER_SPIONE;GILDEN;3;0;3;0;0;0;1;0;0;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
145;3;GILDE_DER_BAUMEISTER;GILDEN;3;0;2;0;0;2;1;0;0;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;3;GILDE_DER_REEDER;GILDEN;3;0;0;0;3;0;1;0;1;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
147;3;GILDE_DER_STRATEGEN;GILDEN;3;0;0;2;0;1;0;1;0;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
148;3;GILDE_DER_KUENSTLER;GILDEN;3;0;0;2;0;2;0;0;0;null;null;0;0;0;False;False;0;False;False;False;False;False;False;False;0;0;0;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
